pEC50,standardized,EC50,Target1
8.3010302,S(=O)(=O)(c1ccc(-c2cc(NC(=O)C3CC3)ncc2)cc1)C=1C(=O)N(c2c(OC)cccc2OC)C(CCCC)=NC=1O,4.999997647495204,1
7.4317985,S(=O)(=O)(Nc1n2C(COC)COc3c(nc(OC)cc3)-c2nn1)C(C(OC(C)C)c1ncc(C)cn1)C,36.999980910471976,0
9.6989698,Fc1c(C2CN(C(=O)C3=C(O)N(c4c(OC)cccc4OC)C(c4cnc(C)cc4)=NC3=O)CC2)ccc(F)c1,0.20000009410023611,1
8.9586077,Brc1c(C(O)C(S(=O)(=O)N(CC[Si](C)(C)C)c2n(-c3c(OC)cccc3OC)c(-c3nc(OC)ccc3)nn2)C)ccc(F)c1,1.0999990244548865,1
8.2757244,S(=O)(=O)(Nc1n(-c2c(OC)ncnc2OC)c(-c2ccccc2)nn1)C(C(O)c1ncc(C)cn1)C,5.299996709873608,1
8.9586077,Clc1cnc(C(OC)C(S(=O)(=O)Nc2n(-c3c(OC)cccc3OC)c(C3CC(C)C3)nn2)C)nc1,1.0999990244548865,1
5.8648672,O=C(O)CC(NC(=O)c1nn(c(-c2c(OC)cccc2OC)c1)C1CCCC1)CCN(CC)CC,1365.0004671271352,0
8.3010302,S(=O)(=O)(c1ccc(-c2cc(F)c(F)cc2)cc1)C=1C(=O)N(c2c(OC)cccc2OC)C(CCCC)=NC=1O,4.999997647495204,1
7.7212462,S(=O)(=O)(Nc1n(-c2c(OC)cccc2OC)c(-c2cc(C)cnc2)nn1)C(C(C)c1ncc(C)nc1)C,19.000008708139905,0
8.3010302,S(=O)(=O)(c1ccc(-c2c(C)cncc2)cc1)C1=C(O)N(C(C)c2cc(C#N)ccc2)C(CCCC)=NC1=O,4.999997647495204,1
6.0409584,Brc1c(-c2n(c(NS(=O)(=O)C(C(C)c3ncc(OC)cn3)C)nn2)C2COC(C)(C)OC2)cccc1,910.0004351606061,0
7.2757239,S(=O)(=O)(Nc1n(c(-c2nc(OC)ccc2)nn1)-c1cc2c(cc1)cccc2)C(C(OC)c1ncc(C)cn1)C,53.000028117238244,0
8.3010302,S(=O)(=O)(c1ccc(-c2c(F)cncc2)cc1)C1=C(O)N(C(CC)c2cc(C#N)ccc2)C(CCCC)=NC1=O,4.999997647495204,1
7.4202166,Clc1cnc(C(OC)C(S(=O)(=O)Nc2n(-c3c(OC)cccc3OC)c(C3CC(=O)CC3)nn2)C)nc1,37.99998279638034,0
5.1023731,S=C1N(C)C(=O)C(=CC=C2N(CC)C(c3ccccc3)=C(c3ccccc3)S2)S1,7899.996520346861,0
8.4685211,S(=O)(=O)(Nc1n(-c2c(OC)cccc2OC)c(-c2nc(C)ccc2)nn1)C(C(O)c1ncc(F)cn1)C,3.399999866579776,1
7.8239088,S(=O)(=O)(Nc1n(-c2c(OC)ncnc2OC)c(C2OCCC2)nn1)C(C(OC(C)C)c1ncc(C)cn1)C,14.999997960289175,0
5.9182925,FC(F)(F)c1c(-c2n(C3CCCC3)nc(C(=O)NC(CC(=O)NC3CCC3)CN3CC(F)(F)CC3)c2)cccc1,1207.0006389502626,0
